"Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m94934710308","2024-03-16","","2024-03-24","Smiski - Turtle Best Friend Plush Keyring/Keychain","Completed","New York","New York","37.99","4.99","0.00","3.79","1.75","0.00","32.45","3.44","0.00","0.00","0.00","0.00"
"m83114305377","2024-03-17","","2024-03-25","Sonny Angel Limited Edition Qixi Festival Set Gift Box with Robby","Completed","Texas","New York","66.99","6.99","0.00","6.69","2.65","0.00","57.65","5.36","0.00","0.00","0.00","0.00"
"m63901139791","2024-03-15","","2024-03-25","Nike Sportswear Club - Cargo Sweat Shorts","Completed","Florida","New York","20.00","6.99","0.00","2.00","1.28","0.00","16.72","1.89","0.00","0.00","0.00","0.00"
"m69400779332","2024-03-17","","2024-03-25","Sonny Angel - Animal Hipper (Panda)","Completed","California","New York","24.99","3.99","0.00","2.49","1.34","0.00","21.16","2.19","0.00","0.00","0.00","0.00"
"m60383299738","2024-03-18","","2024-03-30","BDG Blaine High-Waisted Skate Jean","Completed","Oregon","New York","15.00","7.99","0.00","1.50","1.17","0.00","12.33","0.00","0.00","0.00","0.00","0.00"
"m89225466652","2024-04-02","","2024-04-12","Smiski - Work Series (Presenting)","Completed","Texas","New York","11.00","3.99","0.00","0.00","0.00","0.00","11.00","1.27","0.00","0.44","0.00","0.98"
"m52445792096","2024-04-05","","2024-04-13","Sonny Angel - Animal Hipper (Koala)","Completed","New York","New York","16.99","3.99","0.00","0.00","0.00","0.00","16.99","1.86","0.00","0.67","0.00","1.18"
"m92189683324","2024-04-05","","2024-04-15","Sonny Angel “Hug Me” Plush Bear (Brown)","Completed","California","New York","120.00","17.25","0.00","0.00","0.00","0.00","120.00","10.50","0.00","6.00","0.00","4.67"
"m41405746847","2024-04-10","","2024-04-15","BDG Blaine High-Waisted Skate Jean","Completed","Pennsylvania","New York","1.00","6.99","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.10","0.00","0.73"
"m73749919263","2024-04-09","","2024-04-16","sonny angel candy store keychain peach pink bear","Completed","California","New York","40.00","4.99","0.00","0.00","0.00","0.00","40.00","3.80","0.00","2.00","0.00","1.97"
"m66162357331","2024-04-11","","2024-04-18","Smiski - Work Series (Bundle)","Completed","Florida","New York","30.99","6.99","0.00","0.00","0.00","0.00","30.99","2.47","0.00","1.54","0.00","1.72"
"m25207643495","2024-04-09","","2024-04-18","Converse Women’s All Star Chuck 70 Low Top","Completed","California","New York","25.00","7.99","0.00","0.00","0.00","0.00","25.00","2.31","0.00","1.25","0.00","1.56"
"m17760251797","2024-04-18","","2024-04-24","Smiski - Hide and Seek Plush Pin Badge","Completed","Colorado","New York","35.00","4.99","0.00","0.00","0.00","0.00","35.00","3.49","0.00","3.50","0.00","1.86"
"m16509599437","2024-04-13","","2024-04-24","NCT x Sanrio JAEHYUN T-shirt w/ Photo Tag (M)","Completed","Florida","New York","35.99","6.99","0.00","0.00","0.00","0.00","35.99","3.01","0.00","5.39","0.00","1.99"
"m83589675295","2024-04-22","","2024-04-25","Re-Ment -  Miffy Room Blind Box","Completed","North Carolina","New York","11.00","4.99","0.00","0.00","0.00","0.00","11.00","1.09","0.00","0.88","0.00","1.02"
"m46540784036","2024-04-20","","2024-04-26","Sonny Angel - Animal Hipper (Panda)","Completed","New York","New York","24.99","3.99","0.00","0.00","0.00","0.00","24.99","2.57","0.00","1.99","0.00","1.47"
"m19543872371","2024-04-16","","2024-04-26","Dreams - Animal Bakery (Panda)","Completed","Texas","New York","11.00","4.99","0.00","0.00","0.00","0.00","11.00","1.27","0.00","1.43","0.00","1.04"
"m26150597948","2024-04-23","","2024-04-27","Smiski - Work Series (Bundle)","Completed","Illinois","New York","41.99","6.99","0.00","0.00","0.00","0.00","41.99","5.02","0.00","3.35","0.00","2.16"
"m81867760745","2024-04-22","","2024-04-27","Sonny Angel - Candy Store (sealed box)","Completed","Arizona","New York","45.00","4.99","0.00","0.00","0.00","0.00","45.00","3.42","0.00","2.25","0.00","1.97"
"m45949421156","2024-04-22","","2024-04-27","custom bundle","Completed","California","New York","125.00","6.99","0.00","0.00","0.00","0.00","125.00","12.34","0.00","6.25","0.00","4.72"
"m57505353041","2024-04-27","","2024-04-29","custom bundle","Completed","New York","New York","126.00","6.99","0.00","0.00","0.00","0.00","126.00","11.80","0.00","12.60","0.00","5.06"
"m20393881604","2024-04-24","","2024-04-30","Sonny Angel - Vegetable Series (Tomato)","Completed","California","New York","11.00","3.99","0.00","0.00","0.00","0.00","11.00","1.05","0.00","0.66","0.00","0.98"
"m46907649885","2024-04-26","","2024-04-30","sonny angel candy store keychain peach pink bear","Completed","New York","New York","45.00","4.99","0.00","0.00","0.00","0.00","45.00","4.44","0.00","0.45","0.00","2.09"
"m74259948485","2024-04-24","","2024-04-30","custom bundle","Completed","North Carolina","New York","55.00","6.99","0.00","0.00","0.00","0.00","55.00","4.31","0.00","3.30","0.00","2.52"
"m90954814055","2024-04-27","","2024-05-07","Dreams - Animal Bakery (Cat)","Completed","Virginia","New York","12.00","4.99","0.00","0.00","0.00","0.00","12.00","0.72","0.00","1.08","0.00","1.04"
"m77267532843","2024-04-30","","2024-05-09","sonny angel candy store keychain peach pink bear","Completed","New York","New York","45.99","4.99","0.00","0.00","0.00","0.00","45.99","4.40","0.00","2.29","0.00","2.17"
"m33536715104","2024-05-01","","2024-05-09","Re-Ment - Miffy Room Blind Box (Knitting)","Completed","North Carolina","New York","21.00","5.99","0.00","0.00","0.00","0.00","21.00","1.85","0.00","2.10","0.00","1.40"
"m23900692063","2024-04-29","","2024-05-09","Sonny Angel - Candy Store (sealed box)","Completed","California","New York","45.00","4.99","0.00","0.00","0.00","0.00","45.00","4.44","0.00","1.35","0.00","1.97"
"m31496219242","2024-04-29","","2024-05-10","sonny angel - cherry blossom peaceful spring day version  peacock","Completed","Nevada","New York","20.00","3.99","0.00","0.00","0.00","0.00","20.00","1.68","0.00","0.60","0.00","1.26"
"m99857215778","2024-05-09","","2024-05-14","Sonny Angel - Candy Store (sealed box)","Completed","New York","New York","46.00","4.99","0.00","0.00","0.00","0.00","46.00","4.53","0.00","3.68","0.00","2.22"
"m57856868637","2024-05-09","","2024-05-16","Re-Ment - Miffy Room Blind Box (Knitting)","Completed","Arizona","New York","21.00","5.99","0.00","0.00","0.00","0.00","21.00","1.83","0.00","1.47","0.00","1.38"
"m46694056389","2024-05-11","","2024-05-16","Sonny Angel - Animal Hipper (Koala)","Completed","New Jersey","New York","17.99","3.99","0.00","0.00","0.00","0.00","17.99","1.44","0.00","1.25","0.00","0.61"
"m96911953746","2024-05-10","","2024-05-17","Sonny Angel - Candy Store (sealed box)","Completed","California","New York","46.99","4.99","0.00","0.00","0.00","0.00","46.99","4.11","0.00","7.04","0.00","2.33"
"m44050015239","2024-05-12","","2024-05-19","Re-Ment -  Miffy Room Blind Box","Completed","Minnesota","New York","11.99","4.99","0.00","0.00","0.00","0.00","11.99","1.42","0.00","0.71","0.00","1.05"
"m76949203122","2024-05-14","","2024-05-21","Smiski - Turtle Best Friend Plush Keyring/Keychain","Completed","Illinois","New York","38.99","4.99","0.00","0.00","0.00","0.00","38.99","4.40","0.00","1.94","0.00","1.67"
"m67313227737","2024-05-28","","2024-06-01","Sonny Angel - Animal Hipper (Lop Ear Rabbit/Bunny)","Completed","New Jersey","New York","40.00","3.99","0.00","0.00","0.00","0.00","40.00","2.89","0.00","4.00","0.00","1.98"
"m57491461071","2024-05-30","","2024-06-02","custom bundle","Completed","California","New York","78.99","6.99","0.00","0.00","0.00","0.00","78.99","7.41","0.00","11.84","0.00","3.55"
"m95146296413","2024-05-26","","2024-06-04","Re-Ment - Miffy Room Blind Box (Knitting)","Completed","Nevada","New York","21.00","5.99","0.00","0.00","0.00","0.00","21.00","1.76","0.00","3.15","0.00","1.43"
"m76244888459","2024-05-25","","2024-06-05","Smiski - Work Series (Laptop Research)","Completed","California","New York","30.00","3.99","0.00","0.00","0.00","0.00","30.00","3.08","0.00","2.70","0.00","1.65"
"m61976253442","2024-05-28","","2024-06-06","Re-Ment - Miffy Room Blind Box (Bed)","Completed","California","New York","21.00","5.99","0.00","0.00","0.00","0.00","21.00","2.05","0.00","1.05","0.00","1.37"
"m89674913265","2024-06-05","","2024-06-08","Sonny Angel - Animal Hipper (Elephant)","Completed","Ohio","New York","15.00","3.99","0.00","0.00","0.00","0.00","15.00","1.48","0.00","2.25","0.00","0.00"
"m52398970652","2024-06-02","","2024-06-08","Re-Ment - Snoopy's Life in a Bottle (Coffee Pot)","Completed","Georgia","New York","13.00","4.99","0.00","0.00","0.00","0.00","13.00","1.21","0.00","1.95","0.00","1.11"
"m59382069177","2024-06-02","","2024-06-09","Sonny Angel - Animal Hipper (Panda)","Completed","Florida","New York","25.00","3.99","0.00","0.00","0.00","0.00","25.00","1.88","0.00","3.75","0.00","1.50"
"m29100180380","2024-05-31","","2024-06-09","Peanuts Snoopy St. Patrick’s Day Clover Plush Throw Blanket","Completed","North Carolina","New York","30.99","8.99","0.00","0.00","0.00","0.00","30.99","2.63","0.00","4.02","0.00","1.76"
"m91566373340","2024-06-04","","2024-06-10","Sonny Angel - Animal Hipper (Lion)","Completed","Hawaii","New York","27.00","3.99","0.00","0.00","0.00","0.00","27.00","1.58","0.00","4.05","0.00","1.56"
"m89714742695","2024-06-01","","2024-06-10","Popmart Vita Super Band Bundle","Completed","California","New York","8.00","4.99","0.00","0.00","0.00","0.00","8.00","0.62","0.00","1.20","0.00","0.93"
"m81386740361","2024-06-03","","2024-06-11","Sonny Angel - Animal Hipper (Giraffe)","Completed","California","New York","15.00","3.99","0.00","0.00","0.00","0.00","15.00","1.54","0.00","2.25","0.00","1.16"
