"Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m71406540559","2024-07-31","","2024-08-07","Sonny Angel - Animal Hipper (Giraffe)","Completed","California","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.20","0.00","1.03","0.00","0.00"
"m45209399645","2024-07-31","","2024-08-07","Sonny Angel - Dinosaur Series (Spinosaurus)","Completed","California","New York","17.99","3.99","0.00","0.00","0.00","0.00","17.99","1.62","0.00","2.51","0.00","1.26"
"m75569759708","2024-08-03","","2024-08-08","Sonny Angel - Vegetable Series (Bundle)","Completed","Arizona","New York","27.00","5.99","0.00","0.00","0.00","0.00","27.00","2.11","0.00","2.43","0.00","1.59"
"m75380725109","2024-08-01","","2024-08-08","Pop Mart - Pino Jelly Delicacies Worldwide (Cheese)","Completed","California","New York","13.99","5.99","0.00","0.00","0.00","0.00","13.99","1.31","0.00","1.67","0.00","1.17"
"m92617742064","2024-08-04","","2024-08-09","Sonny Angel - Dinosaur Series (Triceratops)","Completed","North Carolina","New York","14.00","3.99","0.00","0.00","0.00","0.00","14.00","1.29","0.00","0.98","0.00","1.09"
"m57873555786","2024-08-02","","2024-08-10","Sonny Angel - Vegetable Series (sealed box)","Completed","California","New York","11.14","3.99","0.00","0.00","0.00","0.00","11.14","0.86","0.00","0.89","0.00","0.99"
"m44397394931","2024-08-03","","2024-08-10","Nike - Air Force 1s (Gradeschool)","Completed","West Virginia","New York","39.99","7.99","0.00","0.00","0.00","0.00","39.99","0.00","0.00","3.19","0.00","1.98"
"m40722874379","2024-08-08","","2024-08-12","custom bundle","Completed","Florida","New York","47.99","5.99","0.00","0.00","0.00","0.00","47.99","3.78","0.00","1.91","0.00","1.80"
"m50777936070","2024-08-04","","2024-08-12","Sonny Angel - Vegetable Set (Eggplant)","Completed","Nevada","New York","25.00","4.99","0.00","0.00","0.00","0.00","25.00","2.09","0.00","0.25","0.00","1.44"
"m66604766065","2024-08-07","","2024-08-13","Re-Ment - Rilakkuma Leisurely Time Blind Box (Ice Cream)","Completed","Florida","New York","12.00","3.99","0.00","0.00","0.00","0.00","12.00","1.12","0.00","0.96","0.00","1.02"
"m84338260956","2024-08-05","","2024-08-13","Sonny Angel - Fruit Series (Bundle)","Completed","Texas","New York","22.00","4.99","0.00","0.00","0.00","0.00","22.00","2.34","0.00","1.76","0.00","1.40"
"m39259570065","2024-08-09","","2024-08-13","Sonny Angel - Animal Hipper (Panda)","Completed","Pennsylvania","New York","25.00","3.99","0.00","0.00","0.00","0.00","25.00","2.32","0.00","2.25","0.00","1.47"
"m43006206310","2024-08-04","","2024-08-13","POP MART Pucky Festival Babies","Completed","Texas","New York","20.00","6.99","0.00","0.00","0.00","0.00","20.00","2.40","0.00","2.60","0.00","1.14"
"b94975647383","2024-08-11","","2024-08-15","Bundle for collectibrat","Completed","Pennsylvania","New York","89.98","5.99","0.00","0.00","0.00","0.00","89.98","5.76","0.00","7.70","0.00","3.67"
"m13447898737","2024-08-03","","2024-08-15","Sonny Angel - Fruit Series (Bundle)","Completed","Pennsylvania","New York","22.00","4.99","0.00","0.00","0.00","0.00","22.00","1.89","0.00","2.86","0.00","1.42"
"m23627388381","2024-08-10","","2024-08-16","Smiski - Hide and Seek Plush Pin Badge","Completed","Washington","New York","41.99","3.99","0.00","0.00","0.00","0.00","41.99","4.19","0.00","5.03","0.00","2.10"
"m82853297328","2024-08-03","","2024-08-16","Sonny Angel - Dinosaur Series (Triceratops)","Completed","Washington","New York","12.00","3.99","0.00","0.00","0.00","0.00","12.00","1.62","0.00","0.96","0.00","0.75"
"m10848500538","2024-08-09","","2024-08-16","NCT 127 - Neo City The Origin: Mini Tour Bus","Completed","Texas","New York","60.00","7.99","0.00","0.00","0.00","0.00","60.00","5.89","0.00","4.20","0.00","2.76"
"m66561847038","2024-08-10","","2024-08-18","custom bundle","Completed","Texas","New York","26.00","4.99","0.00","0.00","0.00","0.00","26.00","2.81","0.00","3.90","0.00","1.59"
"m35276349474","2024-08-11","","2024-08-19","Sonny Angel - Dinosaur Series (Triceratops)","Completed","California","New York","14.00","3.99","0.00","0.00","0.00","0.00","14.00","1.51","0.00","1.82","0.00","1.12"
"m52207847889","2024-08-15","","2024-08-20","Sonny Angel - Vegetable Series (sealed box)","Completed","Iowa","New York","11.99","4.99","0.00","0.00","0.00","0.00","11.99","0.84","0.00","1.43","0.00","1.06"
"m64970940900","2024-08-14","","2024-08-20","sonny angel candy store keychain orange sheep","Completed","North Carolina","New York","35.00","3.99","0.00","0.00","0.00","0.00","35.00","2.80","0.00","4.20","0.00","1.83"
"m87419580053","2024-08-17","","2024-08-21","Sonny Angel - Vegetable Series (sealed box)","Completed","Minnesota","New York","11.99","3.99","0.00","0.00","0.00","0.00","11.99","1.51","0.00","1.79","0.00","0.74"
"m65143558711","2024-08-16","","2024-08-22","Sonny Angel - Animal Hipper (Rabbit)","Completed","California","New York","30.00","3.99","0.00","0.00","0.00","0.00","30.00","2.33","0.00","3.90","0.00","1.67"
"m20208238744","2024-08-16","","2024-08-22","McDonald's - Collector's Meal - Collector's Cup Barbie/Hot Wheels","Completed","California","New York","11.99","4.99","0.00","0.00","0.00","0.00","11.99","1.14","0.00","1.79","0.00","1.07"
"m61314749642","2024-08-20","","2024-08-22","Sonny Angel - Vegetable Series (sealed box)","Completed","Pennsylvania","New York","11.99","3.99","0.00","0.00","0.00","0.00","11.99","1.12","0.00","1.79","0.00","1.05"
"m60484327579","2024-08-14","","2024-08-22","sonny angel candy store keychain orange sheep","Completed","Texas","New York","35.00","4.99","0.00","0.00","0.00","0.00","35.00","3.51","0.00","3.15","0.00","1.85"
"m57584971404","2024-08-14","","2024-08-22","sonny angel candy store keychain orange sheep","Completed","Washington","New York","36.00","4.99","0.00","0.00","0.00","0.00","36.00","3.95","0.00","5.40","0.00","1.96"
"m42489828650","2024-08-15","","2024-08-22","Sonny Angel - Harvest Series Hipper (Tomato)","Completed","Texas","New York","20.00","4.99","0.00","0.00","0.00","0.00","20.00","2.22","0.00","2.40","0.00","1.21"
"m90443174649","2024-08-19","","2024-08-23","custom bundle","Completed","Ohio","New York","78.94","5.99","0.00","0.00","0.00","0.00","78.94","6.76","0.00","6.31","0.00","3.20"
"m19669186967","2024-08-18","","2024-08-23","Sonny Angel - Animal Series Ver 1 (Dalmatian)","Completed","Pennsylvania","New York","10.00","3.99","0.00","0.00","0.00","0.00","10.00","0.84","0.00","1.00","0.00","0.67"
"m33672250944","2024-08-17","","2024-08-23","Sonny Angel - Harvest Series Hipper (Tomato)","Completed","Utah","New York","20.00","3.99","0.00","0.00","0.00","0.00","20.00","1.49","0.00","0.60","0.00","1.26"
"m22746035700","2024-08-16","","2024-08-24","McDonald's - Collector's Meal - Collector's Cup Barbie/Hot Wheels","Completed","California","New York","11.00","4.99","0.00","0.00","0.00","0.00","11.00","1.13","0.00","0.88","0.00","1.02"
"m32006705000","2024-08-21","","2024-08-25","McDonald's - Collector's Meal - Collector's Cup TY Beanie Babies","Completed","Florida","New York","11.99","4.99","0.00","0.00","0.00","0.00","11.99","1.27","0.00","1.79","0.00","1.08"
"m27792641692","2024-08-21","","2024-08-25","Sonny Angel - Harvest Series Hipper (Apple)","Completed","New Jersey","New York","18.00","4.99","0.00","0.00","0.00","0.00","18.00","1.48","0.00","2.52","0.00","1.28"
"m31461334739","2024-08-18","","2024-08-25","Sonny Angel - Animal Hipper (Lion)","Completed","California","New York","19.99","3.99","0.00","0.00","0.00","0.00","19.99","1.75","0.00","2.59","0.00","1.32"
"m39428280821","2024-08-20","","2024-08-26","McDonald's - Collector's Meal - Collector's Cup Barbie/Hot Wheels","Completed","Florida","New York","11.99","4.99","0.00","0.00","0.00","0.00","11.99","1.19","0.00","1.07","0.00","1.06"
"m41142148568","2024-08-20","","2024-08-26","McDonald's - Collector's Meal - Collector's Cup Barbie/Hot Wheels","Completed","Alabama","New York","11.99","4.99","0.00","0.00","0.00","0.00","11.99","0.96","0.00","1.07","0.00","1.05"
"m11364315611","2024-08-21","","2024-08-27","custom listing","Completed","Louisiana","New York","11.00","3.99","0.00","0.00","0.00","0.00","11.00","1.42","0.00","1.65","0.00","1.02"
"m20640501897","2024-08-18","","2024-08-27","Sonny Angel - Harvest Series Hipper (Tomato)","Completed","California","New York","20.00","3.99","0.00","0.00","0.00","0.00","20.00","2.05","0.00","3.00","0.00","0.91"
"m36831251058","2024-08-20","","2024-08-27","Sonny Angel - Dinosaur Series (Spinosaurus)","Completed","California","New York","19.99","3.99","0.00","0.00","0.00","0.00","19.99","1.90","0.00","1.39","0.00","0.00"
"m49105169065","2024-08-22","","2024-08-27","Otamatone (White)","Completed","Illinois","New York","15.00","6.99","0.00","0.00","0.00","0.00","15.00","1.98","0.00","2.25","0.00","0.00"
"m13819021212","2024-08-26","","2024-08-28","Sonny Angel - Animal Series Bundle","Completed","Illinois","New York","23.98","5.99","0.00","0.00","0.00","0.00","23.98","2.70","0.00","3.11","0.00","1.54"
"m13311859173","2024-08-21","","2024-08-28","McDonald's - Collector's Meal - Collector's Cup Snoopy/Hello Kitty","Completed","Colorado","New York","23.75","5.99","0.00","0.00","0.00","0.00","23.75","2.91","0.00","2.61","0.00","1.52"
"m42905854405","2024-08-24","","2024-08-29","McDonald's - Collector's Meal - Collector's Cup Coke Coca Cola","Completed","Mississippi","New York","17.99","4.99","0.00","0.00","0.00","0.00","17.99","1.61","0.00","2.69","0.00","1.29"
"m82299842315","2024-08-21","","2024-08-30","Re-Ment - Peanuts Snoopy Vintage Cafe Blind Box (Coffee Dripper)","Completed","Washington","New York","12.00","3.99","0.00","0.00","0.00","0.00","12.00","1.62","0.00","0.96","0.00","0.52"
"m56226712053","2024-08-23","","2024-08-30","McDonald's - Collector's Meal - Collector's Cup Coke Coca Cola","Completed","Arkansas","New York","16.99","4.99","0.00","0.00","0.00","0.00","16.99","2.00","0.00","1.18","0.00","1.23"
"m87330709287","2024-08-25","","2024-08-30","custom bundle","Completed","Florida","New York","30.00","5.99","0.00","0.00","0.00","0.00","30.00","2.70","0.00","2.10","0.00","1.68"
"m20997718104","2024-08-23","","2024-08-31","Sonny Angel - Vegetable Series (sealed box)","Completed","California","New York","11.99","3.99","0.00","0.00","0.00","0.00","11.99","1.23","0.00","1.79","0.00","0.00"
"m66213600689","2024-08-24","","2024-08-31","Sonny Angel - Dinosaur Series (Pteranodon)","Completed","Texas","New York","14.99","3.99","0.00","0.00","0.00","0.00","14.99","1.62","0.00","0.89","0.00","1.12"
"m66144597687","2024-08-26","","2024-08-31","Sonny Angel - Summer Clear Pouch Set","Completed","New York","New York","40.00","5.99","0.00","0.00","0.00","0.00","40.00","3.97","0.00","5.60","0.00","2.11"
"m29837845967","2024-08-24","","2024-08-31","McDonald's - Collector's Meal - Collector's Cup Grimace","Completed","New Jersey","New York","14.99","4.99","0.00","0.00","0.00","0.00","14.99","1.28","0.00","2.24","0.00","1.18"
"m74569465652","2024-08-21","","2024-09-01","McDonald's - Collector's Meal - Collector's Cup Barbie/Hot Wheels","Completed","New Jersey","New York","12.99","4.99","0.00","0.00","0.00","0.00","12.99","1.16","0.00","1.16","0.00","1.09"
"m12240004716","2024-08-23","","2024-09-01","McDonald's - Collector's Meal - Collector's Cup Coke Coca Cola","Completed","New York","New York","17.50","4.99","0.00","0.00","0.00","0.00","17.50","1.88","0.00","2.62","0.00","1.28"
"m42218513052","2024-08-26","","2024-09-01","Sonny Angel - Animal Series 2 (sealed box)","Completed","California","New York","11.99","3.99","0.00","0.00","0.00","0.00","11.99","1.14","0.00","0.95","0.00","1.02"
"m73114424097","2024-08-23","","2024-09-01","McDonald's - Collector's Meal - Collector's Cup Coke Coca Cola","Completed","Arkansas","New York","16.99","4.99","0.00","0.00","0.00","0.00","16.99","2.00","0.00","1.35","0.00","1.23"
"m26166271747","2024-08-21","","2024-09-02","McDonald's - Collector's Meal - Collector's Cup Snoopy/Hello Kitty","Completed","Nevada","New York","23.99","5.99","0.00","0.00","0.00","0.00","23.99","2.01","0.00","1.91","0.00","1.19"
"m96031451902","2024-08-22","","2024-09-02","McDonald's - Collector's Meal - Collector's Cup Snoopy/Hello Kitty","Completed","Texas","New York","23.99","5.99","0.00","0.00","0.00","0.00","23.99","2.62","0.00","2.15","0.00","1.51"
"m63278554872","2024-08-23","","2024-09-02","McDonald's - Collector's Meal - Collector's Cup Coke Coca Cola","Completed","California","New York","16.99","4.99","0.00","0.00","0.00","0.00","16.99","1.32","0.00","1.35","0.00","1.21"
"m18100285614","2024-08-28","","2024-09-03","Sonny Angel - Harvest Series Hipper (Melon)","Completed","Pennsylvania","New York","15.00","4.99","0.00","0.00","0.00","0.00","15.00","1.60","0.00","1.20","0.00","1.16"
"m40536290181","2024-08-27","","2024-09-03","Sonny Angel - Animal Series 2 (sealed box)","Completed","Pennsylvania","New York","11.99","3.99","0.00","0.00","0.00","0.00","11.99","0.96","0.00","1.79","0.00","1.04"
"m45716246202","2024-08-26","","2024-09-03","Sonny Angel - Animal Hipper (Giraffe)","Completed","Pennsylvania","New York","19.00","3.99","0.00","0.00","0.00","0.00","19.00","1.38","0.00","1.71","0.00","1.26"
"m25691788067","2024-08-29","","2024-09-04","Sylvanian Families Gashapon Forest Friends Kindergarten (Rabbit)","Completed","Georgia","New York","11.99","3.99","0.00","0.00","0.00","0.00","11.99","1.24","0.00","1.79","0.00","0.00"
"m59533246394","2024-08-28","","2024-09-04","Sonny Angel - Animal Series 2 (sealed box)","Completed","California","New York","12.50","3.99","0.00","0.00","0.00","0.00","12.50","1.16","0.00","1.62","0.00","1.06"
"m39719304101","2024-08-28","","2024-09-04","Sonny Angel - Vegetable Set (Eggplant)","Completed","California","New York","25.00","4.99","0.00","0.00","0.00","0.00","25.00","2.56","0.00","2.00","0.00","1.50"
"m20380552455","2024-08-28","","2024-09-04","custom listing","Completed","Indiana","New York","23.98","4.99","0.00","0.00","0.00","0.00","23.98","1.98","0.00","3.59","0.00","1.50"
"m55752542516","2024-08-30","","2024-09-04","Loungefly Studio Ghibli Stained Glass Portrait Enamel Pin (Kiki)","Completed","Illinois","New York","9.00","3.99","0.00","0.00","0.00","0.00","9.00","1.08","0.00","0.90","0.00","0.93"
"m46342764868","2024-08-27","","2024-09-04","Sonny Angel - Harvest Series Hipper (Cherry)","Completed","Florida","New York","37.00","4.99","0.00","0.00","0.00","0.00","37.00","2.94","0.00","4.44","0.00","1.93"
"m43017785339","2024-08-27","","2024-09-04","POPMART Pucky - The Feast","Completed","Arizona","New York","20.00","5.99","0.00","0.00","0.00","0.00","20.00","1.74","0.00","3.00","0.00","0.66"
"b91509086710","2024-08-26","","2024-09-04","Bundle for Blssomvibs25","Completed","Maryland","New York","24.49","4.99","0.00","0.00","0.00","0.00","24.49","1.47","0.00","3.67","0.00","1.21"
"b81560907042","2024-08-30","","2024-09-04","Bundle for happysmiski","Completed","Georgia","New York","59.97","4.99","0.00","0.00","0.00","0.00","59.97","5.00","0.00","5.99","0.00","2.70"
"m58692979232","2024-08-30","","2024-09-06","McDonald's - Collector's Meal - Collector's Cup Snoopy/Hello Kitty","Completed","Pennsylvania","New York","24.99","5.99","0.00","0.00","0.00","0.00","24.99","1.86","0.00","2.49","0.00","1.52"
"b96358818390","2024-08-28","","2024-09-06","Bundle for axflo11","Completed","Illinois","New York","48.98","4.99","0.00","0.00","0.00","0.00","48.98","4.86","0.00","6.86","0.00","2.26"
"m70688381587","2024-09-04","","2024-09-07","Sonny Angel - Animal Series 2 (sealed)","Completed","Maryland","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","1.53","0.00","2.55","0.00","1.07"
"m38052534553","2024-08-31","","2024-09-08","Sonny Angel - Animal Series 3 (sealed box)","Completed","Virginia","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","0.77","0.00","1.27","0.00","1.03"
"m89734476719","2024-08-31","","2024-09-09","Sonny Angel - Animal Series 2 (sealed box)","Completed","California","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","0.99","0.00","1.27","0.00","1.05"
"m48532629366","2024-08-31","","2024-09-09","sonny angel candy store keychain orange sheep","Completed","Texas","New York","39.99","4.99","0.00","0.00","0.00","0.00","39.99","3.97","0.00","3.99","0.00","2.04"
"m81667370827","2024-09-02","","2024-09-09","custom bundle","Completed","Tennessee","New York","53.29","4.99","0.00","0.00","0.00","0.00","53.29","5.64","0.00","5.32","0.00","2.15"
"m39858403615","2024-09-01","","2024-09-09","sonny angel candy store keychain orange sheep","Completed","Texas","New York","39.99","4.99","0.00","0.00","0.00","0.00","39.99","3.97","0.00","3.99","0.00","2.04"
"m41459709469","2024-09-02","","2024-09-09","custom bundle","Completed","California","New York","129.00","4.99","0.00","0.00","0.00","0.00","129.00","10.00","0.00","12.90","0.00","5.05"
"m96433935446","2024-09-01","","2024-09-09","Re-Ment Snoopy's Life in a Bottle (Laundry Detergent)","Completed","Georgia","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.48","0.00","1.29","0.00","0.78"
"m69375323285","2024-09-03","","2024-09-10","Sonny Angel - Harvest Series Hipper (Radish)","Completed","California","New York","20.00","4.99","0.00","0.00","0.00","0.00","20.00","1.85","0.00","2.00","0.00","0.00"
"m33084846211","2024-09-04","","2024-09-10","Sonny Angel - Animal Series Version 2 - Duck","Completed","Pennsylvania","New York","18.99","3.99","0.00","0.00","0.00","0.00","18.99","1.38","0.00","1.89","0.00","1.26"
"m92971978644","2024-09-01","","2024-09-10","Sonny Angel - Animal Hipper (Lop Ear Bunny)","Completed","Texas","New York","40.00","4.99","0.00","0.00","0.00","0.00","40.00","3.98","0.00","4.00","0.00","1.75"
"m36847036887","2024-09-02","","2024-09-10","sonny angel candy store keychain orange sheep","Completed","Connecticut","New York","39.99","3.99","0.00","0.00","0.00","0.00","39.99","2.77","0.00","3.99","0.00","1.97"
"m70927936367","2024-09-05","","2024-09-10","Sonny Angel - Animal Series 2 (sealed box)","Completed","Florida","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.17","0.00","1.27","0.00","0.77"
"m19986956479","2024-09-02","","2024-09-10","Sonny Angel - Animal Hipper (Panda)","Completed","Texas","New York","25.00","3.99","0.00","0.00","0.00","0.00","25.00","2.56","0.00","2.50","0.00","1.34"
"m79679353633","2024-09-02","","2024-09-10","Sonny Angel - Animal Series Version 2 - Duck","Completed","Minnesota","New York","18.99","3.99","0.00","0.00","0.00","0.00","18.99","1.84","0.00","1.89","0.00","1.27"
"m78441949570","2024-09-04","","2024-09-10","Re-Ment Snoopy's Life in a Bottle (Soap Dispenser)","Completed","California","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.01","0.00","1.29","0.00","1.06"
"m40764714435","2024-09-02","","2024-09-10","Sonny Angel - Animal Series 2 (sealed box)","Completed","Illinois","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.09","0.00","1.27","0.00","0.76"
"b50115441724","2024-09-05","","2024-09-11","Bundle for alwaysangelica04","Completed","California","New York","90.99","5.99","0.00","0.00","0.00","0.00","90.99","8.99","0.00","9.09","0.00","3.84"
"m29467331409","2024-09-06","","2024-09-11","Sonny Angel - Animal Bundle of 7","Completed","California","New York","73.15","6.99","0.00","0.00","0.00","0.00","73.15","7.50","0.00","7.31","0.00","3.25"
"b83810129026","2024-09-04","","2024-09-12","Bundle for sydneybehbeh","Completed","California","New York","38.97","4.99","0.00","0.00","0.00","0.00","38.97","3.02","0.00","3.89","0.00","1.98"
"m35923047583","2024-09-01","","2024-09-12","UGG - Bailey Bow (gradeschool)","Completed","Minnesota","New York","24.99","7.99","0.00","0.00","0.00","0.00","24.99","0.00","0.00","2.49","0.00","0.00"
"b50005962177","2024-08-30","","2024-09-12","Bundle for Savannah Natividad","Completed","California","New York","38.98","5.99","0.00","0.00","0.00","0.00","38.98","3.65","0.00","3.89","0.00","2.02"
"m14645561031","2024-09-09","","2024-09-12","Smiski ""WE CAN DO IT!" plush pillows bundle","Completed","Georgia","New York","119.98","8.99","0.00","0.00","0.00","0.00","119.98","9.93","0.00","11.99","0.00","4.88"
"m60631902968","2024-09-07","","2024-09-13","Re-Ment Snoopy's Life in a Bottle (Ketchup)","Completed","Virginia","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","0.69","0.00","1.29","0.00","1.05"
"m40631228736","2024-09-11","","2024-09-13","Sonny Angel - Animal Series (Shiba Inu)","Completed","Texas","New York","11.00","3.99","0.00","0.00","0.00","0.00","11.00","1.31","0.00","1.10","0.00","1.00"
"m51054422335","2024-09-09","","2024-09-14","Sonny Angel - Animals Series Bundle","Completed","Hawaii","New York","45.00","6.99","0.00","0.00","0.00","0.00","45.00","2.54","0.00","4.50","0.00","2.21"
"m69388716859","2024-09-04","","2024-09-14","Sonny Angel - Animal Series 2 (sealed)","Completed","California","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","2.42","0.00","2.55","0.00","1.53"
"b61838030483","2024-09-09","","2024-09-14","Bundle for Ellie Linsley","Completed","Oregon","New York","23.98","3.99","0.00","0.00","0.00","0.00","23.98","0.00","0.00","2.39","0.00","1.38"
"b93283696180","2024-09-11","","2024-09-14","Bundle for gaga","Completed","Texas","New York","40.50","3.99","0.00","0.00","0.00","0.00","40.50","3.94","0.00","4.05","0.00","2.02"
"m51422722842","2024-09-07","","2024-09-14","Sonny Angel - Gift of Love (Rose)","Completed","California","New York","16.15","3.99","0.00","0.00","0.00","0.00","16.15","1.41","0.00","1.61","0.00","1.17"
"m47825619865","2024-09-02","","2024-09-14","Sonny Angel - Animal Series 2 (sealed)","Completed","California","New York","38.25","5.99","0.00","0.00","0.00","0.00","38.25","2.96","0.00","3.82","0.00","1.98"
"m57276837855","2024-09-03","","2024-09-14","Sonny Angel - Carrying Case","Completed","California","New York","34.99","4.99","0.00","0.00","0.00","0.00","34.99","2.71","0.00","3.49","0.00","1.84"
"m77801036363","2024-09-09","","2024-09-15","Sonny Angel - Animal Series 2 (sealed box)","Completed","Maryland","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","0.77","0.00","1.27","0.00","0.75"
"m53369668214","2024-09-09","","2024-09-17","BTS BT21 x Line Friends - Chimmy Crossbody Bag","Completed","Hawaii","New York","15.00","5.99","0.00","0.00","0.00","0.00","15.00","1.01","0.00","1.50","0.00","1.18"
"m63617974203","2024-09-11","","2024-09-18","Sonny Angel - Animal Series 2 (sealed box)","Completed","Arizona","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.03","0.00","1.27","0.00","0.00"
"m89253737987","2024-09-12","","2024-09-18","Fujihoro Miffy Face Series Kitchenware Blind Capsule (Containers)","Completed","Florida","New York","10.00","3.99","0.00","0.00","0.00","0.00","10.00","0.98","0.00","1.00","0.00","0.96"
"m88160356347","2024-09-12","","2024-09-18","Sonny Angel - Animal Series 3 (sealed box)","Completed","Florida","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.26","0.00","1.27","0.00","0.00"
"m54317386318","2024-09-11","","2024-09-19","Sonny Angel - Animal Hipper (Koala)","Completed","California","New York","18.00","3.99","0.00","0.00","0.00","0.00","18.00","1.85","0.00","1.80","0.00","1.10"
"m25619098921","2024-09-12","","2024-09-19","Supreme Cordura Shoulder Bag","Completed","Connecticut","New York","45.00","5.99","0.00","0.00","0.00","0.00","45.00","3.20","0.00","4.50","0.00","2.20"
"m41711951213","2024-09-11","","2024-09-21","Sonny Angel - Marine Series (sealed box)","Completed","Indiana","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.15","0.00","1.27","0.00","0.91"
"m37481869629","2024-09-12","","2024-09-21","Sonny Angel - Animal Series Version 2 - Duck","Completed","Ohio","New York","18.99","3.99","0.00","0.00","0.00","0.00","18.99","1.53","0.00","1.89","0.00","1.27"
"b21465761068","2024-09-12","","2024-09-22","Bundle for HillysMom21","Completed","Illinois","New York","38.25","4.99","0.00","0.00","0.00","0.00","38.25","4.43","0.00","3.82","0.00","1.99"
"m63695105218","2024-09-13","","2024-09-22","Sonny Angel - Vegetable Series (sealed box)","Completed","New Jersey","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.09","0.00","1.27","0.00","0.65"
"m81039148316","2024-09-14","","2024-09-22","NewJeans x Line Friends Bunini Rabbit Keyring","Completed","Arkansas","New York","33.25","4.99","0.00","0.00","0.00","0.00","33.25","3.50","0.00","3.32","0.00","1.81"
"m14682869314","2024-09-17","","2024-09-22","custom bundle","Completed","Massachusetts","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","1.59","0.00","2.55","0.00","1.21"
"m34098141243","2024-09-17","","2024-09-23","Starbucks New York City Collection Set/Bundle","Completed","Florida","New York","45.99","8.99","0.00","0.00","0.00","0.00","45.99","3.85","0.00","4.59","0.00","2.34"
"m71955037380","2024-09-15","","2024-09-23","Sonny Angel - Town Musician Series (Rooster)","Completed","Illinois","New York","18.00","4.99","0.00","0.00","0.00","0.00","18.00","1.84","0.00","1.80","0.00","1.27"
"m45144299915","2024-09-18","","2024-09-23","custom bundle","Completed","California","New York","25.98","4.99","0.00","0.00","0.00","0.00","25.98","2.47","0.00","2.59","0.00","0.00"
"m35636292607","2024-09-14","","2024-09-23","Sonny Angel - Harvest Hippers (sealed box)","Completed","Texas","New York","15.00","3.99","0.00","0.00","0.00","0.00","15.00","1.67","0.00","1.50","0.00","1.14"
"m20568997473","2024-09-17","","2024-09-23","custom bundle","Completed","Texas","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","2.68","0.00","2.55","0.00","1.54"
"m25127462799","2024-09-14","","2024-09-23","Sonny Angel - Animal Series 2 (sealed)","Completed","Florida","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","2.13","0.00","2.55","0.00","1.52"
"m58627404136","2024-09-19","","2024-09-23","Sonny Angel - Animal Series 2 (sealed)","Completed","Florida","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","2.29","0.00","2.55","0.00","1.50"
"m28667791535","2024-09-14","","2024-09-24","custom bundle","Completed","California","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","2.42","0.00","2.55","0.00","1.31"
"m20364790454","2024-09-14","","2024-09-24","Sonny Angel - Marine Series (sealed box)","Completed","North Carolina","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.11","0.00","1.27","0.00","0.76"
"m18059273073","2024-09-19","","2024-09-24","Sonny Angel - Animal Series 2 (sealed)","Completed","Arizona","New York","38.25","5.99","0.00","0.00","0.00","0.00","38.25","2.98","0.00","3.82","0.00","1.98"
"m93214185959","2024-09-19","","2024-09-24","custom bundle","Completed","Florida","New York","38.25","4.99","0.00","0.00","0.00","0.00","38.25","3.24","0.00","3.82","0.00","1.67"
"m93620402029","2024-09-17","","2024-09-24","Sonny Angel - Animal Series 2 (sealed)","Completed","California","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","1.98","0.00","2.55","0.00","1.52"
"m61855022204","2024-09-15","","2024-09-25","Sonny Angel - Animal Series 2 (sealed box)","Completed","Colorado","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.56","0.00","1.27","0.00","1.07"
"m16455644839","2024-09-20","","2024-09-25","Sonny Angel - Dinosaur Series Set","Completed","California","New York","28.00","4.99","0.00","0.00","0.00","0.00","28.00","2.66","0.00","2.80","0.00","1.62"
